iter	Passed	Remaining
0	0	91
1	1	85
2	2	82
3	3	76
4	3	75
5	4	74
6	5	73
7	6	72
8	7	72
9	7	71
10	8	70
11	9	69
12	10	68
13	11	68
14	11	67
15	12	66
16	13	65
17	14	64
18	15	64
19	15	63
20	16	62
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	51	26
66	52	25
67	52	24
68	53	24
69	54	23
70	55	22
71	56	21
72	56	21
73	57	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	74	3
95	75	3
96	75	2
97	76	1
98	77	0
99	78	0
